highway,osmid,x,y,geometry
,5257162950,-117.7055458,34.1041025,POINT (-117.7055458 34.1041025)
,5257162952,-117.7055548,34.1041339,POINT (-117.7055548 34.1041339)
,5257162953,-117.7053236,34.1040342,POINT (-117.7053236 34.1040342)
,3572361418,-117.7093064,34.1069074,POINT (-117.7093064 34.1069074)
,3572361420,-117.7115669,34.1069492,POINT (-117.7115669 34.1069492)
,3572361422,-117.7123255,34.1069633,POINT (-117.7123255 34.1069633)
traffic_signals,3572361423,-117.7131808,34.1069714,POINT (-117.7131808 34.1069714)
,3572361427,-117.71427,34.1069858,POINT (-117.71427 34.1069858)
,3572361443,-117.7115609,34.1071243,POINT (-117.7115609 34.1071243)
stop,122937574,-117.714918,34.0946887,POINT (-117.714918 34.0946887)
,2396821762,-117.7115656,34.1102325,POINT (-117.7115656 34.1102325)
,123480327,-117.709617,34.0947719,POINT (-117.709617 34.0947719)
,6060685590,-117.709337,34.1005631,POINT (-117.709337 34.1005631)
,6060685591,-117.7103507,34.100545,POINT (-117.7103507 34.100545)
,5257230632,-117.7104069,34.1033114,POINT (-117.7104069 34.1033114)
,5257230634,-117.7108093,34.1031136,POINT (-117.7108093 34.1031136)
,5257230635,-117.7108093,34.1038165,POINT (-117.7108093 34.1038165)
,5257230636,-117.710871,34.1038154,POINT (-117.710871 34.1038154)
,5257230638,-117.7108669,34.1031137,POINT (-117.7108669 34.1031137)
,5257230639,-117.7108723,34.1038954,POINT (-117.7108723 34.1038954)
,5257230641,-117.7110158,34.104404,POINT (-117.7110158 34.104404)
,5257230643,-117.710405,34.1031647,POINT (-117.710405 34.1031647)
,390043986,-117.7115069,34.1053293,POINT (-117.7115069 34.1053293)
,390043987,-117.7108751,34.1053277,POINT (-117.7108751 34.1053277)
,390043988,-117.7100292,34.1053157,POINT (-117.7100292 34.1053157)
,390043989,-117.7093148,34.1053079,POINT (-117.7093148 34.1053079)
,390043994,-117.7081403,34.1049402,POINT (-117.7081403 34.1049402)
,5366824701,-117.7076259,34.1046468,POINT (-117.7076259 34.1046468)
,660558174,-117.7081072,34.103225,POINT (-117.7081072 34.103225)
,660558175,-117.7071052,34.1032337,POINT (-117.7071052 34.1032337)
,390043999,-117.7071498,34.1046871,POINT (-117.7071498 34.1046871)
,660558177,-117.7081306,34.1025613,POINT (-117.7081306 34.1025613)
,5257214322,-117.7093375,34.1038068,POINT (-117.7093375 34.1038068)
,5257214323,-117.7106893,34.1045262,POINT (-117.7106893 34.1045262)
,5257214325,-117.7106893,34.1044387,POINT (-117.7106893 34.1044387)
,5366824702,-117.7076232,34.104463,POINT (-117.7076232 34.104463)
,5257214329,-117.7106585,34.1043731,POINT (-117.7106585 34.1043731)
,5257214334,-117.7106316,34.1044398,POINT (-117.7106316 34.1044398)
,5257214335,-117.7106316,34.1045254,POINT (-117.7106316 34.1045254)
