access,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,u,v
,"LINESTRING (-117.7053279 34.1037699, -117.7053254 34.1034737)",footway,0,,32.937,,,False,543987972,,,5257162934,5258514874
,"LINESTRING (-117.7070244 34.1037766, -117.706627 34.103775)",footway,0,,36.59,,,False,543834814,,,5257162935,5258514844
,"LINESTRING (-117.7053187 34.1043407, -117.7053215 34.1041674)",footway,0,,19.272,,,False,543834814,,,5257162936,5257162946
,"LINESTRING (-117.7053187 34.1043407, -117.7053171 34.1044395, -117.7053419 34.1044689)",footway,0,,14.975,,,False,543834814,,,5257162936,5257162932
,"LINESTRING (-117.7053187 34.1043407, -117.70536 34.1042819, -117.7054043 34.1042508)",footway,0,,12.911000000000001,,,False,543834815,,,5257162936,5257162938
,"LINESTRING (-117.7054043 34.1042508, -117.7054539 34.1042297, -117.7055129 34.1042097, -117.7055384 34.1042071)",footway,0,,13.370000000000001,,,False,543834815,,,5257162938,5257162948
,"LINESTRING (-117.7054043 34.1042508, -117.70536 34.1042819, -117.7053187 34.1043407)",footway,0,,12.911000000000001,,,False,543834815,,,5257162938,5257162936
,"LINESTRING (-117.7054043 34.1042508, -117.7053614 34.1042097, -117.7053215 34.1041674)",footway,0,,12.008,,,False,543834816,,,5257162938,5257162946
,"LINESTRING (-117.7059151 34.0995964, -117.7042483 34.0995667)",secondary,0,,153.509,,6th Street,False,13464279,,,122607803,3695834510
,"LINESTRING (-117.7059151 34.0995964, -117.7070757 34.0996156)",secondary,0,,106.886,,6th Street,False,13464279,,,122607803,123418229
,"LINESTRING (-117.7056229 34.1041986, -117.7055384 34.1042071)",footway,0,,7.837,,,False,543834815,,,5257162941,5257162948
,"LINESTRING (-117.7056229 34.1041986, -117.7057034 34.1042063, -117.7057903 34.104205)",footway,0,,15.463000000000001,,,False,543834815,,,5257162941,5257162943
,"LINESTRING (-117.7056229 34.1041986, -117.705584 34.1041653, -117.7055548 34.1041339)",footway,0,,9.559000000000001,,,False,543834819,,,5257162941,5257162952
