highway,osmid,x,y,geometry,elevation
,5257162935,-117.7070244,34.1037766,POINT (-117.7070244 34.1037766),387.6488037109375
,5257162936,-117.70531869999999,34.1043407,POINT (-117.7053187 34.1043407),391.4633483886719
,5257162938,-117.70540430000001,34.104250799999996,POINT (-117.7054043 34.1042508),391.2755432128906
,122607803,-117.70591509999998,34.099596399999996,POINT (-117.7059151 34.0995964),374.6324157714844
,5257162941,-117.70562290000001,34.104198600000004,POINT (-117.7056229 34.1041986),390.9839172363281
,5257162943,-117.70579029999999,34.104205,POINT (-117.7057903 34.104205),390.499755859375
stop,371251392,-117.7126252,34.1011969,POINT (-117.7126252 34.1011969),374.4159240722656
,5257162945,-117.7057835,34.1045796,POINT (-117.7057835 34.1045796),391.5960693359375
,5257162946,-117.70532150000001,34.1041674,POINT (-117.7053215 34.1041674),391.0620422363281
,5257162948,-117.70553840000001,34.104207099999996,POINT (-117.7055384 34.1042071),391.0469055175781
,5257162950,-117.70554579999998,34.1041025,POINT (-117.7055458 34.1041025),390.5023193359375
,5257162952,-117.7055548,34.1041339,POINT (-117.7055548 34.1041339),390.670654296875
,5257162953,-117.7053236,34.1040342,POINT (-117.7053236 34.1040342),390.8316345214844
,3572361418,-117.7093064,34.1069074,POINT (-117.7093064 34.1069074),395.9784545898438
,3572361420,-117.7115669,34.1069492,POINT (-117.7115669 34.1069492),393.2361755371094
,3572361422,-117.71232549999999,34.1069633,POINT (-117.7123255 34.1069633),392.7124938964844
traffic_signals,3572361423,-117.71318079999999,34.1069714,POINT (-117.7131808 34.1069714),392.1659240722656
,3572361427,-117.71427,34.1069858,POINT (-117.71427 34.1069858),391.6028747558594
,3572361443,-117.71156090000002,34.107124299999995,POINT (-117.7115609 34.1071243),393.555419921875
stop,122937574,-117.714918,34.094688700000006,POINT (-117.714918 34.0946887),354.4352722167969
,2396821762,-117.7115656,34.1102325,POINT (-117.7115656 34.1102325),405.4906616210938
,123480327,-117.709617,34.0947719,POINT (-117.709617 34.0947719),356.8736267089844
