access,area,geometry,highway,key,landuse,lanes,length,name,oneway,osmid,ref,service,u,v
,,"LINESTRING (-117.711203 34.0976092, -117.7112909 34.0976246, -117.71133364389 34.09762448833)",residential,0,,,12.209,4th Street,False,145483649,,,390038259,-39354
,,"LINESTRING (-117.7053187 34.1043407, -117.7053215 34.1041674)",footway,0,,,19.272,,False,543834814,,,5257162936,5257162946
,,"LINESTRING (-117.7053187 34.1043407, -117.7053171 34.1044395, -117.7053419 34.1044689)",footway,0,,,14.975,,False,543834814,,,5257162936,5257162932
,,"LINESTRING (-117.7053187 34.1043407, -117.70536 34.1042819, -117.7054043 34.1042508)",footway,0,,,12.911000000000001,,False,543834815,,,5257162936,5257162938
,,"LINESTRING (-117.7054043 34.1042508, -117.7054539 34.1042297, -117.7055129 34.1042097, -117.7055384 34.1042071)",footway,0,,,13.370000000000001,,False,543834815,,,5257162938,5257162948
,,"LINESTRING (-117.7054043 34.1042508, -117.70536 34.1042819, -117.7053187 34.1043407)",footway,0,,,12.911000000000001,,False,543834815,,,5257162938,5257162936
,,"LINESTRING (-117.7054043 34.1042508, -117.7053614 34.1042097, -117.7053215 34.1041674)",footway,0,,,12.008,,False,543834816,,,5257162938,5257162946
,,"LINESTRING (-117.7124697 34.099171, -117.71256310243 34.09917493316)",,0,,,8.611,,False,-49807,,,4646290442,-39086
,,"LINESTRING (-117.7124697 34.099171, -117.7124613 34.0991709, -117.7124613 34.099388, -117.7124699 34.099388, -117.7124699 34.0994869, -117.7124609 34.0994869, -117.7124609 34.0995081, -117.7123415 34.0995081, -117.7123415 34.099486, -117.7123328 34.099486, -117.7123328 34.0993878, -117.7123408 34.0993878, -117.7123407 34.0991717, -117.7123311 34.0991717, -117.7123311 34.0990743, -117.7123416 34.0990743, -117.7123415 34.0990511, -117.7124593 34.0990511, -117.7124593 34.0990727, -117.7124697 34.0990727, -117.7124697 34.099171)",,0,,,130.224,Smiley Hall,False,380018556,,,4646290442,4646290442
,,"LINESTRING (-117.7124697 34.099171, -117.7124697 34.0990727, -117.7124593 34.0990727, -117.7124593 34.0990511, -117.7123415 34.0990511, -117.7123416 34.0990743, -117.7123311 34.0990743, -117.7123311 34.0991717, -117.7123407 34.0991717, -117.7123408 34.0993878, -117.7123328 34.0993878, -117.7123328 34.099486, -117.7123415 34.099486, -117.7123415 34.0995081, -117.7124609 34.0995081, -117.7124609 34.0994869, -117.7124699 34.0994869, -117.7124699 34.099388, -117.7124613 34.099388, -117.7124613 34.0991709, -117.7124697 34.099171)",,1,,,130.224,Smiley Hall,False,380018556,,,4646290442,4646290442
,,"LINESTRING (-117.7081161 34.1029855, -117.7081072 34.103225)",service,0,,,26.644,,False,51758208,,,3835445353,660558174
,,"LINESTRING (-117.7081161 34.1029855, -117.708128 34.1026667, -117.7081306 34.1025613)",service,0,,,47.188,,False,51758208,,,3835445353,660558177
,,"LINESTRING (-117.7081161 34.1029855, -117.7082213 34.1029782, -117.7083297 34.1029782, -117.7084878 34.1029744, -117.708682 34.1029782, -117.7089395 34.1029669, -117.7090886 34.1029632, -117.709206 34.1029669, -117.7092997 34.1029743)",path,0,,,109.10900000000001,Quotation Walk,False,380203392,,,3835445353,3835445345
,,"LINESTRING (-117.7061867 34.1042006, -117.7057903 34.104205)",footway,0,,,36.5,,False,556348877,,,5366823856,5257162943
,,"LINESTRING (-117.7061867 34.1042006, -117.7061891 34.1045755)",footway,0,,,41.688,,False,556348878,,,5366823856,5366823857
,,"LINESTRING (-117.7061867 34.1042006, -117.7061835 34.1040196)",footway,0,,,20.128,,False,556348879,,,5366823856,5366823858
,,"LINESTRING (-117.7061867 34.1042006, -117.7063525 34.1041992)",footway,0,,,15.266,,False,556348880,,,5366823856,5366823859
,,"LINESTRING (-117.7061891 34.1045755, -117.7061867 34.1042006)",footway,0,,,41.688,,False,556348878,,,5366823857,5366823856
,,"LINESTRING (-117.7061891 34.1045755, -117.705831 34.1045748, -117.7057835 34.1045796)",footway,0,,,37.376999999999995,,False,465279520,,,5366823857,5257162945
,,"LINESTRING (-117.7061891 34.1045755, -117.7065334 34.1045761, -117.7065558 34.1048676, -117.706537 34.1048898)",footway,0,,,67.194,,False,"[465279520, 556524174]",,,5366823857,5368525546
,,"LINESTRING (-117.7061835 34.1040196, -117.7061867 34.1042006)",footway,0,,,20.128,,False,556348879,,,5366823858,5366823856
,,"LINESTRING (-117.7063525 34.1041992, -117.7061867 34.1042006)",footway,0,,,15.266,,False,556348880,,,5366823859,5366823856
,,"LINESTRING (-117.7037102 34.1025076, -117.7037042 34.1025897)",service,0,,,9.146,,False,644755103,,,6062834783,6062834784
permissive,,"LINESTRING (-117.7037102 34.1025076, -117.7036961 34.1025073, -117.7034842 34.1025006, -117.7030171 34.1025048, -117.702988 34.1025051, -117.7028592 34.1025685, -117.7029853 34.102585, -117.7030177 34.1025852, -117.7036881 34.1025895, -117.7037042 34.1025897)",unclassified,1,,,158.25900000000001,East 9th Street,True,"[51758185, 13441726]",,,6062834783,6062834784
,,"LINESTRING (-117.7037042 34.1025897, -117.7037102 34.1025076)",service,0,,,9.146,,False,644755103,,,6062834784,6062834783
,,"LINESTRING (-117.7037042 34.1025897, -117.7037034 34.1027622)",service,0,,,19.181,,False,644755104,,,6062834784,6062847190
permissive,,"LINESTRING (-117.7037042 34.1025897, -117.7044312 34.102601)",unclassified,0,,,66.949,East 9th Street,True,644755106,,,6062834784,660557847
,,"LINESTRING (-117.70627 34.1038233, -117.7061695 34.1038141, -117.7061696 34.1037732)",footway,0,,,13.858,,False,556348881,,,5366823861,5258514839
,,"LINESTRING (-117.7045218 34.1044674, -117.7045606 34.1044675)",footway,0,,,3.572,,False,544091164,,,5259501131,5365357394
,,"LINESTRING (-117.7064675 34.1029888, -117.7062012 34.1029903)",footway,0,,,24.52,,False,543987968,,,5366823862,5258514898
,,"LINESTRING (-117.7064675 34.1029888, -117.7063694 34.1028993)",footway,0,,,13.44,,False,556348882,,,5366823862,5365357526
,,"LINESTRING (-117.7064675 34.1029888, -117.7066176 34.1029879, -117.706625 34.1033999)",footway,0,,,59.638,,False,"[543987968, 543987967]",,,5366823862,5258514841
,,"LINESTRING (-117.7149342 34.1053853, -117.714277 34.1053912)",residential,0,,,60.512,12th Street,False,13405590,,,122807409,123211395
,,"LINESTRING (-117.71309316127 34.1029224094, -117.7131108 34.1029224)",footway,0,,,1.624,,False,556348916,,,-39822,5366824571
,,"LINESTRING (-117.71309316127 34.1029224094, -117.7127354 34.1029226)",footway,0,,,32.94,,False,556348916,,,-39822,5366824565
,,"LINESTRING (-117.71309316127 34.1029224094, -117.71310925618 34.10176074962, -117.71309986845 34.10173520829)",,0,,,132.148,,False,-50007,,,-39822,-39818
,,"LINESTRING (-117.71309986845 34.10173520829, -117.71310120955 34.10156197126)",,0,,,19.264,,False,-50007,,,-39818,-39816
,,"LINESTRING (-117.71309986845 34.10173520829, -117.71328779301 34.10171632943)",,0,,,17.43,,False,-57819,,,-39818,-57975
,,"LINESTRING (-117.71309986845 34.10173520829, -117.71310925618 34.10176074962, -117.71309316127 34.1029224094)",,0,,,132.148,,False,-50007,,,-39818,-39822
,,"LINESTRING (-117.71309986845 34.10173520829, -117.71306499973 34.10171299844, -117.71280214325 34.10168079413)",,0,,,28.516000000000002,,False,-57819,,,-39818,-57826
,,"LINESTRING (-117.71310120955 34.10156197126, -117.71309986845 34.10173520829)",,0,,,19.264,,False,-50007,,,-39816,-39818
,,"LINESTRING (-117.71310120955 34.10156197126, -117.71302208439 34.10155530829, -117.71302208439 34.10151977244, -117.71291077271 34.10149867302, -117.71283298865 34.10142871176, -117.71281555429 34.10134986646, -117.71274849907 34.10135208745, -117.71274846442 34.10128212426)",,0,,,55.23400000000001,,False,-50007,,,-39816,-58048
,,"LINESTRING (-117.71310120955 34.10156197126, -117.71329030462 34.10155974971, -117.71341100402 34.10156918892, -117.71482385762 34.10156141546)",,0,,,158.667,,False,-57872,,,-39816,-57875
,,"LINESTRING (-117.7139139 34.105172, -117.7139147 34.1053921)",service,0,,,24.474,,False,366189068,,,3701747050,3701747052
,,"LINESTRING (-117.7139139 34.105172, -117.7139119 34.1046199)",service,0,,,61.391,,False,366189068,,,3701747050,3701747045
,,"LINESTRING (-117.7139139 34.105172, -117.7141101 34.105175, -117.7141333 34.1051619, -117.7141431 34.1051376, -117.7141419 34.1046452, -117.7141235 34.104626, -117.7140942 34.1046189, -117.7139119 34.1046199)",service,1,,,100.57499999999999,,False,366189069,,parking_aisle,3701747050,3701747045
