highway,osmid,x,y,geometry
,-39312,-117.71259292606,34.09656980456,POINT (-117.71259292606 34.09656980456)
,-39310,-117.71314515726,34.09649847939,POINT (-117.71314515726 34.09649847939)
,-39300,-117.71204778227,34.09657437805,POINT (-117.71204778227 34.09657437805)
,-39290,-117.71178022094,34.09645353975,POINT (-117.71178022094 34.09645353975)
,-39286,-117.71174737173,34.09657689835,POINT (-117.71174737173 34.09657689835)
,-39284,-117.7113973356,34.0964093,POINT (-117.7113973356 34.0964093)
,-39278,-117.71148116263,34.09657913171,POINT (-117.71148116263 34.09657913171)
,-39276,-117.71314005479,34.09656521441,POINT (-117.71314005479 34.09656521441)
,-39274,-117.71480234898,34.09655126857,POINT (-117.71480234898 34.09655126857)
,-39260,-117.7111525847,34.09566059534,POINT (-117.7111525847 34.09566059534)
,-39256,-117.71190768845,34.0956545289,POINT (-117.71190768845 34.0956545289)
,-39232,-117.71204715707,34.09565302167,POINT (-117.71204715707 34.09565302167)
,-39230,-117.71374492279,34.09514748797,POINT (-117.71374492279 34.09514748797)
,-39226,-117.7136510624,34.0956488,POINT (-117.7136510624 34.0956488)
,-39224,-117.71305024657,34.09553554647,POINT (-117.71305024657 34.09553554647)
,-39222,-117.7130516076,34.09564930318,POINT (-117.7130516076 34.09564930318)
,-39220,-117.71339623071,34.09539959389,POINT (-117.71339623071 34.09539959389)
,-39218,-117.71340027586,34.0956488,POINT (-117.71340027586 34.0956488)
,-39216,-117.71266199948,34.09565095764,POINT (-117.71266199948 34.09565095764)
,-39212,-117.71282292475,34.09538861477,POINT (-117.71282292475 34.09538861477)
,-39208,-117.71268556742,34.0951114168,POINT (-117.71268556742 34.0951114168)
,-39206,-117.706914255,34.0949047476,POINT (-117.706914255 34.0949047476)
,-39202,-117.7096111353,34.0949204128,POINT (-117.7096111353 34.0949204128)
,-39200,-117.7095759111,34.09463083519,POINT (-117.7095759111 34.09463083519)
,-39198,-117.71268415364,34.09481215875,POINT (-117.71268415364 34.09481215875)
,-39194,-117.71480441105,34.09564951971,POINT (-117.71480441105 34.09564951971)
,-39190,-117.71104541619,34.09483275811,POINT (-117.71104541619 34.09483275811)
,-39188,-117.71130005814,34.09482371476,POINT (-117.71130005814 34.09482371476)
,-39182,-117.71101176873,34.09483432545,POINT (-117.71101176873 34.09483432545)
,-39180,-117.71122634545,34.0948243302,POINT (-117.71122634545 34.0948243302)
,-39178,-117.71481782332,34.09479434444,POINT (-117.71481782332 34.09479434444)
,-39150,-117.71104395524,34.09452002981,POINT (-117.71104395524 34.09452002981)
,-39146,-117.71129876509,34.09454557331,POINT (-117.71129876509 34.09454557331)
,-39126,-117.71481782332,34.09446116866,POINT (-117.71481782332 34.09446116866)
,-39124,-117.71300068923,34.0967221256,POINT (-117.71300068923 34.0967221256)
,-39116,-117.71333028173,34.09689831576,POINT (-117.71333028173 34.09689831576)
,-39108,-117.71368322735,34.09706046159,POINT (-117.71368322735 34.09706046159)
,-39106,-117.71367184785,34.09664377332,POINT (-117.71367184785 34.09664377332)
,-39100,-117.71382339678,34.09745497478,POINT (-117.71382339678 34.09745497478)
,-39094,-117.71368257768,34.09737141426,POINT (-117.71368257768 34.09737141426)
,-39092,-117.71300676331,34.09731503916,POINT (-117.71300676331 34.09731503916)
,-39088,-117.71318167482,34.097377522,POINT (-117.71318167482 34.097377522)
,-39086,-117.71256310243,34.09917493316,POINT (-117.71256310243 34.09917493316)
,-39084,-117.71263580101,34.09917491273,POINT (-117.71263580101 34.09917491273)
,-39080,-117.71291567477,34.09916103767,POINT (-117.71291567477 34.09916103767)
,-39078,-117.71345478338,34.09916161791,POINT (-117.71345478338 34.09916161791)
,-39074,-117.7137221223,34.09912045126,POINT (-117.7137221223 34.09912045126)
,-39072,-117.71397123263,34.09918381809,POINT (-117.71397123263 34.09918381809)
,-39070,-117.71400645442,34.09918214656,POINT (-117.71400645442 34.09918214656)
,2932287336,-117.7030636,34.0996668,POINT (-117.7030636 34.0996668)
,-39068,-117.71402187712,34.09958582187,POINT (-117.71402187712 34.09958582187)
,-39066,-117.7137623734,34.09958859817,POINT (-117.7137623734 34.09958859817)
,-39064,-117.71104723854,34.10028598408,POINT (-117.71104723854 34.10028598408)
,2932287337,-117.70312,34.0996093,POINT (-117.70312 34.0996093)
,-39054,-117.71155759759,34.10027989457,POINT (-117.71155759759 34.10027989457)
,-39052,-117.7115602798,34.10013108586,POINT (-117.7115602798 34.10013108586)
,-39048,-117.71179832585,34.10027656304,POINT (-117.71179832585 34.10027656304)
,-39046,-117.71256203042,34.10027378563,POINT (-117.71256203042 34.10027378563)
,-39044,-117.71349851115,34.10049183418,POINT (-117.71349851115 34.10049183418)
,-39042,-117.71438396093,34.10051046024,POINT (-117.71438396093 34.10051046024)
,-39034,-117.71478228338,34.10047090238,POINT (-117.71478228338 34.10047090238)
,-39026,-117.71374225449,34.10049166605,POINT (-117.71374225449 34.10049166605)
,-39022,-117.71349985186,34.10058112008,POINT (-117.71349985186 34.10058112008)
,-39018,-117.71338284083,34.10055918782,POINT (-117.71338284083 34.10055918782)
,-39016,-117.71338015966,34.10017178325,POINT (-117.71338015966 34.10017178325)
,-39014,-117.7139219645,34.09994063227,POINT (-117.7139219645 34.09994063227)
,-39012,-117.71392196642,34.10016942195,POINT (-117.71392196642 34.10016942195)
,-39008,-117.71376639672,34.09973685257,POINT (-117.71376639672 34.09973685257)
,-39006,-117.71391525932,34.09973907361,POINT (-117.71391525932 34.09973907361)
,-39000,-117.71370201935,34.10017038052,POINT (-117.71370201935 34.10017038052)
,-38996,-117.71481782332,34.09973851891,POINT (-117.71481782332 34.09973851891)
,-38994,-117.71482184663,34.10025157707,POINT (-117.71482184663 34.10025157707)
,-38978,-117.71274785417,34.10005002072,POINT (-117.71274785417 34.10005002072)
,5326481400,-117.704067,34.1045225,POINT (-117.704067 34.1045225)
,5326481402,-117.7041515,34.1042204,POINT (-117.7041515 34.1042204)
,5326481403,-117.7044194,34.1042215,POINT (-117.7044194 34.1042215)
,5326481405,-117.7044571,34.104828,POINT (-117.7044571 34.104828)
,5326481406,-117.7037784,34.1045833,POINT (-117.7037784 34.1045833)
,5326481407,-117.703729,34.1048156,POINT (-117.703729 34.1048156)
,5326481411,-117.7037585,34.1049333,POINT (-117.7037585 34.1049333)
,5259487244,-117.7105098,34.1038156,POINT (-117.7105098 34.1038156)
,5259487245,-117.7105138,34.1033108,POINT (-117.7105138 34.1033108)
,5259487246,-117.710661,34.1038866,POINT (-117.710661 34.1038866)
,5259487247,-117.7061546,34.1033975,POINT (-117.7061546 34.1033975)
,5259487249,-117.7057943,34.1033941,POINT (-117.7057943 34.1033941)
,5259487258,-117.7058622,34.1033948,POINT (-117.7058622 34.1033948)
,5259487259,-117.7052468,34.1030418,POINT (-117.7052468 34.1030418)
,5259487260,-117.7050964,34.1029912,POINT (-117.7050964 34.1029912)
,5259487261,-117.7050897,34.102624,POINT (-117.7050897 34.102624)
,5259487262,-117.7045057,34.1029905,POINT (-117.7045057 34.1029905)
,5259487263,-117.7071383,34.10151,POINT (-117.7071383 34.10151)
,5368525546,-117.706537,34.1048898,POINT (-117.706537 34.1048898)
,5259487279,-117.7063059,34.1019143,POINT (-117.7063059 34.1019143)
,5259487278,-117.7061002,34.1020571,POINT (-117.7061002 34.1020571)
,3832064071,-117.71343,34.0958076,POINT (-117.71343 34.0958076)
,3835275347,-117.7129225,34.0951125,POINT (-117.7129225 34.0951125)
,5368525556,-117.7058874,34.1049763,POINT (-117.7058874 34.1049763)
,5258487943,-117.7071686,34.1020488,POINT (-117.7071686 34.1020488)
,5258487941,-117.7076084,34.102124,POINT (-117.7076084 34.102124)
,5258487942,-117.7076098,34.1020276,POINT (-117.7076098 34.1020276)
,5258487944,-117.7071375,34.1017789,POINT (-117.7071375 34.1017789)
,5258487946,-117.7072651,34.1018568,POINT (-117.7072651 34.1018568)
,5258487947,-117.708051,34.1015847,POINT (-117.708051 34.1015847)
,5258487953,-117.7080819,34.1008463,POINT (-117.7080819 34.1008463)
,5258487954,-117.7085754,34.1008463,POINT (-117.7085754 34.1008463)
,5258487959,-117.7086585,34.1011761,POINT (-117.7086585 34.1011761)
,5258487964,-117.7085754,34.1014293,POINT (-117.7085754 34.1014293)
,390044659,-117.7043393,34.1067664,POINT (-117.7043393 34.1067664)
,390044660,-117.7043447,34.1052159,POINT (-117.7043447 34.1052159)
,390044661,-117.7055049,34.1052296,POINT (-117.7055049 34.1052296)
,390044662,-117.7055075,34.1051048,POINT (-117.7055075 34.1051048)
,3572361416,-117.7060416,34.1068822,POINT (-117.7060416 34.1068822)
,3572361417,-117.7071358,34.1068921,POINT (-117.7071358 34.1068921)
,3572361418,-117.7093064,34.1069074,POINT (-117.7093064 34.1069074)
,3572361422,-117.7123255,34.1069633,POINT (-117.7123255 34.1069633)
traffic_signals,3572361423,-117.7131808,34.1069714,POINT (-117.7131808 34.1069714)
,3572361427,-117.71427,34.1069858,POINT (-117.71427 34.1069858)
stop,123586950,-117.7114799,34.1026228,POINT (-117.7114799 34.1026228)
,-58117,-117.71124914348,34.09973526474,POINT (-117.71124914348 34.09973526474)
,123283955,-117.7071337,34.1070672,POINT (-117.7071337 34.1070672)
,5035084309,-117.7071615,34.1051532,POINT (-117.7071615 34.1051532)
,5257160034,-117.7112776,34.1059654,POINT (-117.7112776 34.1059654)
,4617136668,-117.7095578,34.0984703,POINT (-117.7095578 34.0984703)
,5257160036,-117.71111,34.1059628,POINT (-117.71111 34.1059628)
,5257160038,-117.710947,34.1059608,POINT (-117.710947 34.1059608)
,1337903715,-117.7123259,34.1067589,POINT (-117.7123259 34.1067589)
,1337903727,-117.7124106,34.1067572,POINT (-117.7124106 34.1067572)
,5257160054,-117.7113748,34.1054911,POINT (-117.7113748 34.1054911)
,3835325052,-117.7030719,34.101143,POINT (-117.7030719 34.101143)
,5257160058,-117.7116778,34.1055077,POINT (-117.7116778 34.1055077)
,5257160060,-117.7130498,34.1063783,POINT (-117.7130498 34.1063783)
,5257160063,-117.7131061,34.1058342,POINT (-117.7131061 34.1058342)
,122620587,-117.7149214,34.0976219,POINT (-117.7149214 34.0976219)
,122620588,-117.7125923,34.0976212,POINT (-117.7125923 34.0976212)
,4602674428,-117.705485,34.1046747,POINT (-117.705485 34.1046747)
,5257160073,-117.7113922,34.1066193,POINT (-117.7113922 34.1066193)
,3833596638,-117.7139052,34.0991183,POINT (-117.7139052 34.0991183)
,4602674432,-117.7055634,34.1049424,POINT (-117.7055634 34.1049424)
,4602674435,-117.705666,34.1051383,POINT (-117.705666 34.1051383)
,5257160084,-117.7115156,34.1065949,POINT (-117.7115156 34.1065949)
,5707795268,-117.7105855,34.1060839,POINT (-117.7105855 34.1060839)
,5707795269,-117.7109466,34.1061394,POINT (-117.7109466 34.1061394)
