y_start,y_end,x_start,x_end,highway,oneway,edge_index,length
-117.71138914166667,-117.71143452083334,34.102621929166666,34.10262236458333,service,False,1,5.037320620469015
-117.71143452083334,-117.7114799,34.10262236458333,34.1026228,service,False,1,5.037320620469015
-117.7092997,-117.70925285,34.1029743,34.1029706,path,False,2,5.216629908589537
-117.70925285,-117.709206,34.1029706,34.1029669,path,False,2,5.216629908589537
-117.709206,-117.7091473,34.1029669,34.102965049999995,path,False,2,6.518952627109433
-117.7091473,-117.7090886,34.102965049999995,34.1029632,path,False,2,6.518952627084454
-117.7090886,-117.7090389,34.1029632,34.102964433333334,path,False,2,5.518407555574325
-117.7090389,-117.7089892,34.102964433333334,34.10296566666666,path,False,2,5.518407553977737
-117.7089892,-117.7089395,34.10296566666666,34.1029669,path,False,2,5.518407555574325
-117.7089395,-117.708888,34.1029669,34.10296916,path,False,2,5.722031423617875
-117.708888,-117.7088365,34.10296916,34.10297142,path,False,2,5.722031423617875
-117.7088365,-117.70878499999999,34.10297142,34.10297368,path,False,2,5.722031425158991
-117.70878499999999,-117.7087335,34.10297368,34.10297594,path,False,2,5.722031423617875
-117.7087335,-117.708682,34.10297594,34.1029782,path,False,2,5.722031423617875
-117.708682,-117.70863345,34.1029782,34.10297725,path,False,2,5.39008717885905
-117.70863345,-117.7085849,34.10297725,34.1029763,path,False,2,5.3900871772819485
-117.7085849,-117.70853635,34.1029763,34.10297535,path,False,2,5.39008717885905
-117.70853635,-117.7084878,34.10297535,34.1029744,path,False,2,5.39008717885905
-117.7084878,-117.7084351,34.1029744,34.102975666666666,path,False,2,5.851398588998881
-117.7084351,-117.70838239999999,34.102975666666666,34.10297693333334,path,False,2,5.851398590594882
-117.70838239999999,-117.7083297,34.10297693333334,34.1029782,path,False,2,5.851398588998881
-117.7083297,-117.7082755,34.1029782,34.1029782,path,False,2,6.01619999932268
-117.7082755,-117.7082213,34.1029782,34.1029782,path,False,2,6.01619999932268
-117.7082213,-117.7081687,34.1029782,34.102981850000006,path,False,2,5.852716033180059
