y,x,elevation
-117.70378174999999,34.10057485,379.15185546875
-117.7037826,34.0995576,375.6432800292969
-117.7037827,34.1049133,398.6981201171875
-117.7037842,34.1001452,377.3619689941406
-117.70378488,34.0996072,375.6551208496094
-117.7037856,34.100096685714284,377.11474609375
-117.70378695714285,34.105624642857144,398.4614562988281
-117.703787,34.100048171428575,376.8658447265625
-117.70378716,34.0996568,375.7323608398438
-117.703788,34.1048678,398.8344116210938
-117.70378840000001,34.09999965714286,376.7131042480469
-117.70378943809524,34.098938266666664,374.004638671875
-117.70378944,34.0997064,375.7341613769531
-117.7037898,34.099951142857144,376.5218811035156
-117.7037912,34.09990262857143,376.3118591308594
-117.70379172,34.099756,375.85595703125
-117.7037926,34.09985411428572,376.1450500488281
-117.70379357499999,34.100625924999996,379.2906494140625
-117.7037938,34.1064647,400.1768188476562
-117.70379395,34.103481275,389.8044128417969
-117.703794,34.0998056,376.0629577636719
-117.703795075,34.1025911125,386.4889221191406
-117.70379642857142,34.102762885714284,387.2216491699219
-117.7037971,34.1059517,398.874267578125
-117.70380165,34.1025095125,386.3143920898438
-117.7038054,34.100677,379.440185546875
-117.7038079,34.100726914285715,379.6144714355469
-117.7038082,34.1045791,394.6547546386719
-117.7038086,34.1058229,398.6481628417969
-117.7038103,34.0995583,375.6347351074219
-117.7038104,34.100776828571426,379.7349548339844
-117.7038129,34.100826742857144,379.9277648925781
-117.7038154,34.100876657142855,380.0762939453125
-117.70381774,34.10421816,394.5740661621094
-117.7038179,34.10092657142857,380.3276672363281
-117.7038204,34.100976485714284,380.4920654296875
-117.7038213,34.1059536,398.8939514160156
-117.7038229,34.1010264,380.7056884765625
-117.70383433333333,34.098950433333336,374.0476379394531
-117.70383641428572,34.10562428571429,398.5891723632812
-117.7038376,34.1064891,400.2950744628906
-117.70384051250001,34.10259181875,386.4901123046875
-117.703840975,34.1034800625,389.8063354492188
-117.7038427,34.1064686,400.2993469238281
-117.70384294285714,34.102763228571426,387.2649536132812
-117.70384737500001,34.102510468750005,386.3182678222656
-117.7038501,34.1059737,398.8104248046875
-117.7038505,34.1006562,379.5058288574219
-117.7038512,34.1009116,380.3484497070312
-117.7038544,34.1065076,400.565673828125
-117.7038563,34.1064382,400.3334045410156
-117.70386542,34.10421848,394.5508117675781
-117.7038703,34.1065228,400.7162170410156
-117.7038709,34.1064125,400.3476867675781
-117.7038715,34.1059914,398.7356567382812
-117.7038731,34.09956,375.62109375
-117.70387922857142,34.0989626,374.0941772460938
-117.70388587142857,34.10562392857143,398.6202392578125
-117.70388595,34.102592525000006,386.5221557617188
-117.703888,34.10347885,389.8034362792969
-117.70388945714286,34.102763571428575,387.2932434082031
-117.7038895,34.1065353,400.7460021972656
-117.7038912,34.1063887,400.0759887695312
-117.7038918,34.1058118,398.3409118652344
-117.7038927,34.1045602,394.6350708007812
-117.7038931,34.102511425,386.3569030761719
-117.7038935,34.1060185,398.8515319824219
-117.7039089,34.1009128,380.4621887207031
-117.7039109,34.1006568,379.6531066894531
-117.7039115,34.1060484,399.036376953125
-117.7039131,34.104218800000005,394.6146240234375
-117.7039144,34.1063663,400.2875671386719
-117.70392,34.09956083749999,375.5730895996094
-117.7039202,34.1065474,400.8431701660156
-117.7039239,34.1060783,399.2404174804688
-117.70392412380953,34.098974766666664,374.1590270996094
-117.7039245,34.1063509,400.3703918457031
-117.7039313875,34.102593231250005,386.5794372558594
-117.7039317,34.100905,380.4117736816406
-117.7039341,34.1063327,400.2701416015625
-117.7039346,34.1061058,399.4788208007812
-117.70393502499999,34.1034776375,389.8191528320312
-117.70393532857143,34.10562357142857,398.6434631347656
-117.7039354,34.1065596,400.9947204589844
-117.7039357,34.1006646,379.5982360839844
-117.70393597142858,34.10276391428572,387.2831115722656
-117.703938,34.1061394,399.8091735839844
-117.703938825,34.10251238125,386.3645935058594
-117.7039392,34.1062146,399.6651000976562
-117.7039409,34.1062421,399.9164733886719
-117.7039437,34.1061716,399.6180419921875
-117.70394675,34.105786800000004,398.4738159179688
-117.7039482,34.1063112,400.063720703125
-117.703949,34.104548550000004,394.6434326171875
-117.7039505,34.1008822,380.2187194824219
-117.7039568,34.1065757,401.435302734375
-117.7039572,34.106265,400.1302795410156
-117.70395785,34.10071955,379.5831298828125
-117.70396078,34.10421912,394.7434997558594
-117.7039639,34.1008556,379.9648132324219
-117.7039657,34.1062902,400.1015930175781
-117.7039669,34.099561675,375.5462646484375
-117.70396901904762,34.098986933333336,374.2042236328125
-117.7039766,34.1008289,379.7472534179688
-117.703976825,34.102593937500004,386.5776672363281
-117.7039771,34.1065816,401.6767578125
-117.70398,34.1007745,379.4636840820312
-117.70398205,34.103476425,389.8058166503906
-117.70398248571429,34.10276425714286,387.3300170898438
-117.70398455,34.1025133375,386.3969116210938
-117.70398478571428,34.105623214285714,398.4188232421875
