y_start,y_end,x_start,x_end,highway,oneway,edge_index
-117.7062397,-117.7062437,34.1020605,34.1020149,footway,False,46
-117.7062437,-117.7062585,34.1020149,34.1019688,footway,False,46
-117.7062585,-117.7062793,34.1019688,34.1019372,footway,False,46
-117.7062793,-117.7063059,34.1019372,34.1019143,footway,False,46
-117.7063059,-117.7062793,34.1019143,34.1019372,footway,False,47
-117.7062793,-117.7062585,34.1019372,34.1019688,footway,False,47
-117.7062585,-117.7062437,34.1019688,34.1020149,footway,False,47
-117.7062437,-117.7062397,34.1020149,34.1020605,footway,False,47
-117.7062397,-117.7061002,34.1020605,34.1020571,footway,False,47
-117.7063059,-117.7063155,34.1019143,34.1019061,footway,False,48
-117.7063155,-117.7063638,34.1019061,34.1018689,footway,False,48
-117.7063638,-117.706406,34.1018689,34.1018456,footway,False,48
-117.706406,-117.7064637,34.1018456,34.101835,footway,False,48
-117.7064637,-117.7065193,34.101835,34.1018278,footway,False,48
-117.7065193,-117.7065663,34.1018278,34.1018306,footway,False,48
-117.7065663,-117.7066152,34.1018306,34.101835,footway,False,48
-117.7066152,-117.7066602,34.101835,34.1018472,footway,False,48
-117.7066602,-117.706699,34.1018472,34.101865,footway,False,48
-117.706699,-117.7067353,34.101865,34.1018878,footway,False,48
-117.7067353,-117.7071383,34.1018878,34.10151,footway,False,48
-117.7063059,-117.7062914,34.1019143,34.1018883,footway,False,49
-117.7062914,-117.7062665,34.1018883,34.1018672,footway,False,49
-117.7062665,-117.7062417,34.1018672,34.1018506,footway,False,49
-117.7062417,-117.7062169,34.1018506,34.1018367,footway,False,49
-117.7062169,-117.7061881,34.1018367,34.1018245,footway,False,49
-117.7061881,-117.7061351,34.1018245,34.1018228,footway,False,49
-117.7061351,-117.7060942,34.1018228,34.1018217,footway,False,49
-117.7060942,-117.706062,34.1018217,34.10182,footway,False,49
-117.706062,-117.7060292,34.10182,34.1018117,footway,False,49
-117.7060292,-117.706001,34.1018117,34.1018006,footway,False,49
-117.706001,-117.7059775,34.1018006,34.1017873,footway,False,49
-117.7059775,-117.7059641,34.1017873,34.1017712,footway,False,49
-117.7059641,-117.7059541,34.1017712,34.101749,footway,False,49
-117.7059541,-117.7059527,34.101749,34.1017206,footway,False,49
-117.7059527,-117.7059514,34.1017206,34.1016657,footway,False,49
-117.7059514,-117.7059487,34.1016657,34.1009611,footway,False,49
-117.7059487,-117.7059313,34.1009611,34.1009361,footway,False,49
-117.7059313,-117.7059038,34.1009361,34.1009128,footway,False,49
-117.7059038,-117.7058729,34.1009128,34.1008911,footway,False,49
-117.7058729,-117.705832,34.1008911,34.1008739,footway,False,49
-117.705832,-117.7057911,34.1008739,34.1008595,footway,False,49
-117.7057911,-117.7057402,34.1008595,34.1008428,footway,False,49
-117.7057402,-117.7057026,34.1008428,34.1008356,footway,False,49
-117.7057026,-117.7055466,34.1008356,34.1008341,footway,False,49
-117.7060477,-117.7057836,34.1066772,34.1066725,service,False,50
-117.7060477,-117.7071393,34.1066772,34.1066905,service,False,51
-117.7093031,-117.7093064,34.1070825,34.1069074,service,False,52
-117.7093031,-117.7115609,34.1070825,34.1071243,primary,True,53
-117.7093031,-117.7093114,34.1070825,34.1074253,service,False,54
-117.7093114,-117.7093865,34.1074253,34.1079672,service,False,54
-117.7093865,-117.709577,34.1079672,34.1085955,service,False,54
-117.709577,-117.7099042,34.1085955,34.1091063,service,False,54
-117.7099042,-117.7101322,34.1091063,34.1094283,service,False,54
-117.7101322,-117.7108939,34.1094283,34.1099435,service,False,54
-117.7108939,-117.7115656,34.1099435,34.1102325,service,False,54
-117.703988,-117.7055466,34.1007989,34.1008341,footway,False,55
-117.703988,-117.7039766,34.1007989,34.1008289,footway,False,56
-117.7039766,-117.7039639,34.1008289,34.1008556,footway,False,56
-117.7039639,-117.7039505,34.1008556,34.1008822,footway,False,56
-117.7039505,-117.7039317,34.1008822,34.100905,footway,False,56
-117.7039317,-117.7039089,34.100905,34.1009128,footway,False,56
-117.7039089,-117.7038512,34.1009128,34.1009116,footway,False,56
-117.703988,-117.70398,34.1007989,34.1007745,footway,False,57
-117.70398,-117.7039357,34.1007745,34.1006646,footway,False,57
-117.7039357,-117.7039109,34.1006646,34.1006568,footway,False,57
-117.7039109,-117.7038505,34.1006568,34.1006562,footway,False,57
-117.7038512,-117.7039089,34.1009116,34.1009128,footway,False,58
-117.7039089,-117.7039317,34.1009128,34.100905,footway,False,58
-117.7039317,-117.7039505,34.100905,34.1008822,footway,False,58
-117.7039505,-117.7039639,34.1008822,34.1008556,footway,False,58
-117.7039639,-117.7039766,34.1008556,34.1008289,footway,False,58
-117.7039766,-117.703988,34.1008289,34.1007989,footway,False,58
-117.7038505,-117.7039109,34.1006562,34.1006568,footway,False,59
-117.7039109,-117.7039357,34.1006568,34.1006646,footway,False,59
-117.7039357,-117.70398,34.1006646,34.1007745,footway,False,59
-117.70398,-117.703988,34.1007745,34.1007989,footway,False,59
-117.7087797,-117.7085754,34.1006324,34.1008463,footway,False,60
-117.7087797,-117.7092385,34.1006324,34.1006315,footway,False,61
-117.7087797,-117.7087838,34.1006324,34.1006612,footway,False,62
-117.7087838,-117.7087516,34.1006612,34.1008767,footway,False,62
-117.7087797,-117.7088844,34.1006324,34.1000094,footway,False,63
